"Pickup_Date","Pickup_Hour","Pickup_Loc","Zone","min_duration","max_duration","avg_duration","yc_trip_count"
2018-11-01,2,236,"Upper East Side North",43,1157,365.636363636364,11
2018-11-01,2,237,"Upper East Side South",113,1834,624.125,40
2018-11-01,2,238,"Upper West Side North",118,1150,463.772727272727,22
2018-11-01,2,239,"Upper West Side South",2,1600,519.892857142857,28
2018-11-01,2,243,"Washington Heights North",764,764,764,1
2018-11-01,2,244,"Washington Heights South",2,2050,541.866666666667,15
2018-11-01,2,246,"West Chelsea/Hudson Yards",38,2605,696.105839416058,274
2018-11-01,2,249,"West Village",0,2288,764.175159235669,314
2018-11-01,2,261,"World Trade Center",153,1816,819.542857142857,35
2018-11-01,2,262,"Yorkville East",194,1071,629.5,6
2018-11-01,2,263,"Yorkville West",22,3934,502.734693877551,49
2018-11-01,3,4,"Alphabet City",130,1451,589,11
2018-11-01,3,12,"Battery Park",1141,1141,1141,1
2018-11-01,3,13,"Battery Park City",2,670,402.5,4
2018-11-01,3,24,"Bloomingdale",184,842,490.888888888889,9
2018-11-01,3,41,"Central Harlem",9,1105,415.692307692308,13
2018-11-01,3,42,"Central Harlem North",114,1294,499,8
2018-11-01,3,43,"Central Park",337,948,615.6,5
2018-11-01,3,45,"Chinatown",240,1737,632.066666666667,15
2018-11-01,3,48,"Clinton East",5,2680,662.58064516129,186
2018-11-01,3,50,"Clinton West",17,3197,718,51
2018-11-01,3,68,"East Chelsea",58,4041,738.710037174721,269
2018-11-01,3,74,"East Harlem North",104,1956,676.9,10
2018-11-01,3,75,"East Harlem South",128,2580,530.047619047619,21
2018-11-01,3,79,"East Village",0,2911,736.048507462687,268
2018-11-01,3,87,"Financial District North",3,1776,798.5625,16
2018-11-01,3,88,"Financial District South",491,1216,848.25,4
2018-11-01,3,90,"Flatiron",3,2432,789,115
2018-11-01,3,100,"Garment District",121,4045,762.641025641026,39
2018-11-01,3,107,"Gramercy",1,83903,1600.5393258427,89
2018-11-01,3,113,"Greenwich Village North",33,2074,764.6875,48
2018-11-01,3,114,"Greenwich Village South",119,4500,886.752293577982,109
2018-11-01,3,116,"Hamilton Heights",382,1082,642.6,5
2018-11-01,3,125,"Hudson Sq",246,2481,875.054054054054,37
2018-11-01,3,127,"Inwood",45,45,45,1
2018-11-01,3,137,"Kips Bay",131,1389,563.029411764706,34
2018-11-01,3,140,"Lenox Hill East",64,2962,657.6875,16
2018-11-01,3,141,"Lenox Hill West",98,1669,650.916666666667,36
2018-11-01,3,142,"Lincoln Square East",22,2350,598.333333333333,27
2018-11-01,3,143,"Lincoln Square West",184,827,417.142857142857,7
2018-11-01,3,144,"Little Italy/NoLiTa",4,1947,631.824561403509,114
2018-11-01,3,148,"Lower East Side",48,85959,1248.65333333333,300
2018-11-01,3,151,"Manhattan Valley",176,983,589,7
2018-11-01,3,152,"Manhattanville",661,1126,849.666666666667,3
2018-11-01,3,158,"Meatpacking/West Village West",89,85324,1852.75903614458,166
2018-11-01,3,161,"Midtown Center",147,1644,627.070175438596,57
2018-11-01,3,162,"Midtown East",11,3154,587.763636363636,110
2018-11-01,3,163,"Midtown North",150,1910,894.567567567568,37
2018-11-01,3,164,"Midtown South",62,1909,724.245762711864,118
2018-11-01,3,166,"Morningside Heights",139,848,367.882352941176,17
2018-11-01,3,170,"Murray Hill",91,3694,647.114285714286,70
2018-11-01,3,186,"Penn Station/Madison Sq West",26,3211,602.719512195122,82
2018-11-01,3,209,"Seaport",538,1182,859,4
2018-11-01,3,211,"SoHo",2,1836,704.72,25
2018-11-01,3,224,"Stuy Town/Peter Cooper Village",131,1139,563,3
2018-11-01,3,229,"Sutton Place/Turtle Bay North",89,1858,569.677419354839,31
2018-11-01,3,230,"Times Sq/Theatre District",10,86099,1540.34234234234,111
2018-11-01,3,231,"TriBeCa/Civic Center",4,84828,2797.67123287671,73
2018-11-01,3,232,"Two Bridges/Seward Park",285,2410,993.454545454545,11
2018-11-01,3,233,"UN/Turtle Bay South",20,695,392.666666666667,9
2018-11-01,3,234,"Union Sq",0,84842,1414.5873015873,126
2018-11-01,3,236,"Upper East Side North",117,1316,578.066666666667,15
2018-11-01,3,237,"Upper East Side South",171,1391,447.611111111111,18
2018-11-01,3,238,"Upper West Side North",4,1741,581.444444444444,27
2018-11-01,3,239,"Upper West Side South",140,2467,611.947368421053,19
2018-11-01,3,243,"Washington Heights North",259,385,324,3
2018-11-01,3,244,"Washington Heights South",81,777,465.6,5
2018-11-01,3,246,"West Chelsea/Hudson Yards",28,2346,657.512820512821,273
2018-11-01,3,249,"West Village",2,85611,1173.1220657277,213
2018-11-01,3,261,"World Trade Center",159,2238,934.888888888889,9
2018-11-01,3,262,"Yorkville East",21,2353,883.333333333333,9
2018-11-01,3,263,"Yorkville West",38,1606,459.636363636364,22
2018-11-01,4,4,"Alphabet City",151,1470,684,9
2018-11-01,4,13,"Battery Park City",53,1854,1337.5,4
2018-11-01,4,24,"Bloomingdale",95,1734,771.555555555556,9
2018-11-01,4,41,"Central Harlem",101,1601,522.666666666667,24
2018-11-01,4,42,"Central Harlem North",4,85993,12757.2857142857,7
2018-11-01,4,43,"Central Park",194,1188,617.25,4
2018-11-01,4,45,"Chinatown",146,1374,468.428571428571,7
2018-11-01,4,48,"Clinton East",56,86310,1127.41871921182,203
2018-11-01,4,50,"Clinton West",41,1851,654.027777777778,36
2018-11-01,4,68,"East Chelsea",9,3463,748.81976744186,172
2018-11-01,4,74,"East Harlem North",94,1560,639,23
2018-11-01,4,75,"East Harlem South",64,1500,378.619047619048,21
2018-11-01,4,79,"East Village",0,2119,754.747252747253,182
2018-11-01,4,87,"Financial District North",377,1771,976.571428571429,7
2018-11-01,4,88,"Financial District South",363,1560,909.285714285714,7
2018-11-01,4,90,"Flatiron",35,2199,781.79,100
2018-11-01,4,100,"Garment District",69,2649,689.931034482759,58
2018-11-01,4,107,"Gramercy",7,1546,529.527027027027,74
2018-11-01,4,113,"Greenwich Village North",127,2236,805.135135135135,37
2018-11-01,4,114,"Greenwich Village South",23,2054,849.917808219178,73
2018-11-01,4,116,"Hamilton Heights",370,1281,765,5
2018-11-01,4,125,"Hudson Sq",79,1299,717.421052631579,19
2018-11-01,4,137,"Kips Bay",123,1460,655.08,25
2018-11-01,4,140,"Lenox Hill East",60,1144,420.789473684211,19
2018-11-01,4,141,"Lenox Hill West",82,1863,647.02380952381,42
2018-11-01,4,142,"Lincoln Square East",64,86325,3797.24137931034,29
2018-11-01,4,143,"Lincoln Square West",8,2031,852.9,10
2018-11-01,4,144,"Little Italy/NoLiTa",13,1533,695.178571428571,56
2018-11-01,4,148,"Lower East Side",22,1710,688.43956043956,182
2018-11-01,4,151,"Manhattan Valley",86,2183,658.181818181818,22
2018-11-01,4,152,"Manhattanville",390,561,501.8,5
2018-11-01,4,158,"Meatpacking/West Village West",38,2526,853.032786885246,61
2018-11-01,4,161,"Midtown Center",0,70963,2049.27777777778,54
2018-11-01,4,162,"Midtown East",116,1627,563.371134020619,97
2018-11-01,4,163,"Midtown North",56,2419,773.058823529412,34
2018-11-01,4,164,"Midtown South",83,1890,694.796875,64
2018-11-01,4,166,"Morningside Heights",203,1183,562.882352941176,17
2018-11-01,4,170,"Murray Hill",29,2316,683.903614457831,83
2018-11-01,4,186,"Penn Station/Madison Sq West",57,83053,1521.41052631579,95
2018-11-01,4,202,"Roosevelt Island",15,1021,518,2
2018-11-01,4,209,"Seaport",564,1192,851.75,4
2018-11-01,4,211,"SoHo",184,1423,615.090909090909,11
2018-11-01,4,224,"Stuy Town/Peter Cooper Village",167,1328,729,8
2018-11-01,4,229,"Sutton Place/Turtle Bay North",73,1844,718.567567567568,37
2018-11-01,4,230,"Times Sq/Theatre District",74,83554,1607.77419354839,93
2018-11-01,4,231,"TriBeCa/Civic Center",3,1692,705.967213114754,61
2018-11-01,4,232,"Two Bridges/Seward Park",28,1018,516.666666666667,9
2018-11-01,4,233,"UN/Turtle Bay South",51,1525,664.038461538462,26
2018-11-01,4,234,"Union Sq",12,83070,1785.63636363636,77
2018-11-01,4,236,"Upper East Side North",27,1721,837.823529411765,17
2018-11-01,4,237,"Upper East Side South",44,1843,586.096774193548,31
2018-11-01,4,238,"Upper West Side North",104,1528,654.945945945946,37
2018-11-01,4,239,"Upper West Side South",98,83294,3485.58064516129,31
2018-11-01,4,243,"Washington Heights North",1427,1427,1427,1
2018-11-01,4,244,"Washington Heights South",439,952,686.25,4
2018-11-01,4,246,"West Chelsea/Hudson Yards",16,2741,662.030864197531,162
2018-11-01,4,249,"West Village",9,2982,821.87417218543,151
2018-11-01,4,261,"World Trade Center",275,1002,791,7
2018-11-01,4,262,"Yorkville East",77,2652,704.681818181818,22
2018-11-01,4,263,"Yorkville West",161,1043,528.487179487179,39
2018-11-01,5,4,"Alphabet City",60,1834,457.222222222222,9
2018-11-01,5,13,"Battery Park City",6,2183,879.909090909091,22
2018-11-01,5,24,"Bloomingdale",32,2154,752.75,16
2018-11-01,5,41,"Central Harlem",133,1797,556.25,24
2018-11-01,5,42,"Central Harlem North",198,1773,884.666666666667,6
2018-11-01,5,43,"Central Park",141,1655,622.235294117647,17
2018-11-01,5,45,"Chinatown",823,1633,1116,6
2018-11-01,5,48,"Clinton East",0,3012,489.082352941176,255
2018-11-01,5,50,"Clinton West",106,1762,545.870967741935,31
2018-11-01,5,68,"East Chelsea",68,2224,668.6,100
2018-11-01,5,74,"East Harlem North",98,1409,561,17
2018-11-01,5,75,"East Harlem South",66,2722,569.255813953488,43
2018-11-01,5,79,"East Village",46,84765,2044.10185185185,108
2018-11-01,5,87,"Financial District North",128,4338,1004.84848484848,33
2018-11-01,5,88,"Financial District South",274,1833,592.6,10
2018-11-01,5,90,"Flatiron",96,2245,687.572916666667,96
2018-11-01,5,100,"Garment District",30,2636,433.185714285714,140
2018-11-01,5,107,"Gramercy",99,1754,541.422222222222,90
2018-11-01,5,113,"Greenwich Village North",111,1681,500.358974358974,39
2018-11-01,5,114,"Greenwich Village South",106,1966,661.838709677419,31
2018-11-01,5,116,"Hamilton Heights",436,1888,1032,7
2018-11-01,5,125,"Hudson Sq",126,1970,856.076923076923,13
2018-11-01,5,127,"Inwood",420,420,420,1
2018-11-01,5,137,"Kips Bay",60,1696,643.604651162791,43
2018-11-01,5,140,"Lenox Hill East",74,1826,513.18,50
2018-11-01,5,141,"Lenox Hill West",83,1816,576.267441860465,86
2018-11-01,5,142,"Lincoln Square East",77,1979,582.622641509434,53
2018-11-01,5,143,"Lincoln Square West",133,2282,692.5,32
2018-11-01,5,144,"Little Italy/NoLiTa",248,3506,991.933333333333,15
2018-11-01,5,148,"Lower East Side",89,3579,728.072463768116,69
2018-11-01,5,151,"Manhattan Valley",85,2329,639.258064516129,31
2018-11-01,5,152,"Manhattanville",143,1391,767,2
2018-11-01,5,158,"Meatpacking/West Village West",155,83752,9573.05263157895,19
2018-11-01,5,161,"Midtown Center",44,84515,2041.38888888889,72
2018-11-01,5,162,"Midtown East",20,1542,628.880597014925,67
2018-11-01,5,163,"Midtown North",60,84364,4617,43
2018-11-01,5,164,"Midtown South",68,3019,618.360655737705,61
2018-11-01,5,166,"Morningside Heights",56,2054,716.818181818182,22
2018-11-01,5,170,"Murray Hill",18,2155,583.330578512397,121
2018-11-01,5,186,"Penn Station/Madison Sq West",4,66427,870.779069767442,172
2018-11-01,5,202,"Roosevelt Island",1031,1031,1031,1
2018-11-01,5,209,"Seaport",74,931,729.2,5
2018-11-01,5,211,"SoHo",162,1871,616.411764705882,17
2018-11-01,5,224,"Stuy Town/Peter Cooper Village",183,1540,587.222222222222,18
2018-11-01,5,229,"Sutton Place/Turtle Bay North",55,1771,665.9,50
2018-11-01,5,230,"Times Sq/Theatre District",3,2363,735.586956521739,92
2018-11-01,5,231,"TriBeCa/Civic Center",34,2166,681,44
2018-11-01,5,232,"Two Bridges/Seward Park",132,83859,8869.5,10
2018-11-01,5,233,"UN/Turtle Bay South",139,85909,2549.06818181818,44
2018-11-01,5,234,"Union Sq",101,86246,2851.94594594595,74
2018-11-01,5,236,"Upper East Side North",64,2108,511.758928571429,112
2018-11-01,5,237,"Upper East Side South",5,1896,509.9,70
2018-11-01,5,238,"Upper West Side North",132,2119,799.675675675676,74
2018-11-01,5,239,"Upper West Side South",57,2444,671.55223880597,67
2018-11-01,5,243,"Washington Heights North",389,389,389,1
2018-11-01,5,244,"Washington Heights South",70,2736,1217.75,8
2018-11-01,5,246,"West Chelsea/Hudson Yards",2,2089,722.083333333333,60
2018-11-01,5,249,"West Village",23,4941,787.745454545455,110
2018-11-01,5,261,"World Trade Center",277,1659,946.090909090909,11
2018-11-01,5,262,"Yorkville East",73,1632,522.257575757576,66
2018-11-01,5,263,"Yorkville West",57,1375,520.786516853933,89
2018-11-01,6,4,"Alphabet City",98,2700,706.818181818182,22
2018-11-01,6,12,"Battery Park",207,207,207,1
2018-11-01,6,13,"Battery Park City",54,2540,811.223684210526,76
2018-11-01,6,24,"Bloomingdale",157,2379,741.5625,32
2018-11-01,6,41,"Central Harlem",154,2582,849.21568627451,51
2018-11-01,6,42,"Central Harlem North",160,61784,4020.63157894737,19
2018-11-01,6,43,"Central Park",76,2972,642.954545454545,88
2018-11-01,6,45,"Chinatown",185,1500,774,8
2018-11-01,6,48,"Clinton East",2,84527,1109.49419953596,431
2018-11-01,6,50,"Clinton West",71,1728,576.194029850746,67
2018-11-01,6,68,"East Chelsea",96,86152,1199.52597402597,154
2018-11-01,6,74,"East Harlem North",51,2251,683.3125,48
2018-11-01,6,75,"East Harlem South",5,2283,654.431818181818,88
2018-11-01,6,79,"East Village",58,85765,1657.875,176
2018-11-01,6,87,"Financial District North",0,2557,862.211267605634,71
2018-11-01,6,88,"Financial District South",15,2547,1106.7619047619,21
2018-11-01,6,90,"Flatiron",31,85283,1220.49230769231,130
2018-11-01,6,100,"Garment District",91,2550,464.274509803922,408
2018-11-01,6,107,"Gramercy",9,2428,535.471861471861,231
2018-11-01,6,113,"Greenwich Village North",85,86167,1534.85106382979,94
2018-11-01,6,114,"Greenwich Village South",73,3255,923.64406779661,59
2018-11-01,6,116,"Hamilton Heights",88,1872,779.944444444444,18
2018-11-01,6,125,"Hudson Sq",141,1546,640.055555555556,36
2018-11-01,6,137,"Kips Bay",76,2571,526.691666666667,120
2018-11-01,6,140,"Lenox Hill East",67,86110,1170.61038961039,154
2018-11-01,6,141,"Lenox Hill West",4,83344,886.267206477733,247
2018-11-01,6,142,"Lincoln Square East",51,34727,847.282208588957,163
2018-11-01,6,143,"Lincoln Square West",9,2618,643.236363636364,110
2018-11-01,6,144,"Little Italy/NoLiTa",12,2183,739.809523809524,21
2018-11-01,6,148,"Lower East Side",199,84191,2826.02272727273,44
2018-11-01,6,151,"Manhattan Valley",99,2559,769,89
2018-11-01,6,152,"Manhattanville",167,1235,758.3,10
2018-11-01,6,158,"Meatpacking/West Village West",127,2101,685.666666666667,27
2018-11-01,6,161,"Midtown Center",80,83274,1057.24096385542,166
2018-11-01,6,162,"Midtown East",88,2659,562.963963963964,222
2018-11-01,6,163,"Midtown North",72,2758,738.792207792208,77
2018-11-01,6,164,"Midtown South",111,2309,471.5,108
2018-11-01,6,166,"Morningside Heights",88,1725,812.451612903226,31
2018-11-01,6,170,"Murray Hill",37,86220,1269.28510638298,235
2018-11-01,6,186,"Penn Station/Madison Sq West",9,86296,652.692434210526,608
2018-11-01,6,209,"Seaport",606,1379,844.2,5
2018-11-01,6,211,"SoHo",61,2090,661.12,25
2018-11-01,6,224,"Stuy Town/Peter Cooper Village",122,7169,837.181818181818,44
